,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Semme,0,FR,1560207602,81,46.2,1.5,51.01,3.36
1,Cravo Norte,100,CO,1560207604,97,6.3,-70.2,73.49,3.51
2,Wanlaweyn,100,SO,1560207606,84,2.62,44.89,75.47,9.66
3,Hambantota,100,LK,1560207607,81,6.12,81.12,83.57,16.73
4,Mahibadhoo,100,MV,1560207609,80,3.78,72.97,83.03,11.01
5,Touros,100,BR,1560207610,80,-5.2,-35.46,81.05,21.59
6,Codajas,92,BR,1560207611,75,-3.84,-62.06,80.87,1.43
7,Buchanan,75,LR,1560207612,94,5.88,-10.05,77.0,11.07
8,Dabakala,100,CI,1560207614,94,8.36,-4.43,73.13,6.53
9,Kavaratti,100,IN,1560207615,78,10.57,72.64,84.29,29.77
10,Ogaminana,65,NG,1560207616,93,7.6,6.2,72.77,8.16
11,Ikere,70,NG,1560207617,98,7.49,5.23,71.69,4.09
12,Lodja,17,CD,1560207619,56,-3.52,23.6,68.09,1.88
13,Zaraza,100,VE,1560207620,82,9.35,-65.33,78.17,9.15
14,Kigorobya,81,UG,1560207621,78,1.62,31.31,73.31,4.85
15,Palora,75,EC,1560207622,61,-1.7,-77.97,77.0,1.12
16,Georgetown,75,GY,1560207561,74,6.8,-58.16,84.2,12.75
17,Agadez,1,NE,1560207626,11,16.97,7.99,91.4,3.36
18,Victoria,75,BN,1560207627,88,5.28,115.24,80.6,9.04
19,Bondoukou,100,CI,1560207394,97,8.04,-2.8,71.87,4.7
20,Itarema,70,BR,1560207629,89,-2.92,-39.92,76.01,8.63
21,Takoradi,68,GH,1560207631,83,4.89,-1.75,76.55,4.21
22,Matara,1,PE,1560207052,74,-13.74,-72.9,38.39,5.66
23,Porto Novo,20,BR,1560207633,87,-23.68,-45.44,60.8,5.82
24,Banda Aceh,100,ID,1560207634,79,5.56,95.32,84.65,12.66
25,Tessaoua,16,NE,1560207527,26,13.76,7.99,94.91,0.85
26,Carutapera,22,BR,1560207636,94,-1.2,-46.02,76.37,4.92
27,Punta Cardon,100,VE,1560207638,76,11.61,-70.22,84.29,25.79
28,Mangrol,3,IN,1560207639,20,25.33,76.51,100.49,7.4
29,Jutai,87,BR,1560207640,99,-1.71,-47.89,74.21,2.3
30,Salalah,40,OM,1560207642,84,17.01,54.1,86.0,10.29
31,Adwa,98,ET,1560207643,77,14.16,38.9,65.93,1.99
32,Pitimbu,75,BR,1560207644,83,-7.47,-34.81,78.8,6.93
33,Am Timan,98,TD,1560207645,69,11.04,20.28,81.95,3.89
34,Sokoni,0,CD,1560207646,81,-12.89,28.78,50.27,5.17
35,Bandarbeyla,46,SO,1560207648,49,9.49,50.81,83.21,20.83
36,Adre,63,TD,1560207649,43,13.47,22.2,85.37,7.09
37,Batticaloa,100,LK,1560207650,88,7.71,81.69,75.11,2.13
38,Manadhoo,92,MV,1560207651,80,5.77,73.38,83.57,16.89
39,Grand-Lahou,46,CI,1560207652,95,5.24,-5.0,73.49,2.15
40,Gore,97,ET,1560207654,99,8.15,35.53,56.75,2.42
41,Axim,51,GH,1560207655,80,4.87,-2.24,77.99,7.58
42,Gamboma,9,CG,1560207656,56,-1.87,15.88,76.19,4.92
43,Praia,0,BR,1560207562,68,-20.25,-43.81,66.2,5.82
44,Doka,100,SD,1560207659,77,13.52,35.76,78.17,13.18
45,Kalmunai,100,LK,1560207660,88,7.42,81.82,75.11,2.13
46,Kolondieba,99,ML,1560207661,73,11.09,-6.89,81.05,7.63
47,Gambela,97,ET,1560207662,88,8.25,34.59,66.29,4.54
48,Puerto Leguizamo,94,CO,1560207664,97,-0.19,-74.78,71.69,2.21
49,Ouahigouya,81,BF,1560207665,31,13.58,-2.42,95.27,11.95
50,Boromo,100,BF,1560207666,45,11.74,-2.93,89.51,9.78
51,Trairi,78,BR,1560207667,96,-3.28,-39.27,72.41,4.83
52,Cayenne,0,GF,1560207669,94,4.94,-52.33,77.0,2.24
53,Iracoubo,20,GF,1560207670,90,5.48,-53.21,76.55,6.78
54,Goderich,80,CA,1560207459,94,43.74,-81.71,55.0,21.0
55,Canguaretama,75,BR,1560207672,88,-6.38,-35.14,77.0,5.82
56,Mangai,29,CD,1560207673,47,-4.07,19.59,69.53,1.54
57,Bubaque,100,GW,1560207675,86,11.28,-15.83,79.97,16.22
58,Marsabit,85,KE,1560207676,49,2.34,37.99,81.59,19.15
59,Puri,62,ID,1560207677,78,-7.54,112.45,76.73,11.32
60,Aden,38,YE,1560207532,61,12.79,45.03,89.69,6.8
61,Yarada,99,IN,1560207679,82,17.65,83.27,84.83,12.17
62,Hobyo,93,SO,1560207681,62,5.35,48.53,80.33,23.4
63,Eirunepe,28,BR,1560207682,75,-6.66,-69.87,76.91,1.28
64,Monrovia,75,LR,1560207683,94,6.33,-10.8,77.0,8.48
65,Colombo,90,LK,1560207559,100,6.93,79.85,75.2,3.36
66,Urrao,75,CO,1560207685,61,6.32,-76.13,77.0,13.87
67,Mayumba,0,GA,1560207687,86,-3.44,10.65,74.57,3.8
68,Omboue,48,GA,1560207688,83,-1.57,9.26,76.01,9.28
69,Galle,1,US,1560207689,58,29.74,-97.91,87.01,11.41
70,Yangambi,23,CD,1560207690,68,0.77,24.47,74.39,1.21
71,Jackville,75,CI,1560207691,83,5.21,-4.42,80.6,5.82
72,Xuddur,41,SO,1560207693,77,4.12,43.89,72.95,18.16
73,Tarkwa,64,GH,1560207694,96,5.31,-1.99,72.59,2.17
74,Kudahuvadhoo,97,MV,1560207695,76,2.67,72.89,83.57,8.01
75,Gao,43,ML,1560207697,26,16.28,-0.04,97.79,11.01
76,Puerto Ayacucho,75,CO,1560207698,88,5.66,-67.63,78.8,5.44
77,Requena,8,ES,1560207699,72,39.49,-1.1,62.6,3.36
